Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
225	1	-6695.094	-6724.087	28.99322	24.61147	4.980029
226	0	-6687.502	-6724.816	37.31368	23.28055	4.648919
227	1	-6700.5	-6727.312	26.81205	21.11139	5.121066
228	0	-6681.965	-6715.571	33.60575	24.76611	4.79002
229	1	-6690.431	-6717.943	27.51185	21.86129	5.08695
230	0	-6711.077	-6742.154	31.07783	21.15623	4.919489
231	1	-6688.227	-6724.132	35.90506	23.8426	4.706756
232	0	-6712.384	-6738.11	25.72671	21.72669	5.169746
233	1	-6699.006	-6734.212	35.20621	23.46379	4.738627
234	0	-6705.623	-6731.39	25.7675	21.99663	5.165427
235	1	-6708.919	-6736.421	27.50244	25.08619	5.027488
236	0	-6689.344	-6725.509	36.1648	22.73868	4.69796
237	1	-6700.299	-6737.78	37.48098	24.45525	4.636623
238	0	-6710.489	-6735.717	25.22784	22.90186	5.175901
239	1	-6696.225	-6729.594	33.3686	24.23487	4.808085
240	0	-6727.026	-6752.916	25.89053	19.43345	5.146365
241	1	-6704.009	-6729.784	25.77496	20.29935	5.16667
242	0	-6703.02	-6731.58	28.56035	22.12619	5.037778
243	1	-6690.379	-6724.284	33.90511	23.04045	4.796544
244	0	-6708.44	-6735.354	26.91396	20.69771	5.114452
245	1	-6715.132	-6746.56	31.42772	22.04517	4.908156
246	0	-6706.965	-6734.515	27.54987	20.39928	5.080574
247	1	-6703.455	-6736.074	32.61965	25.02752	4.824708
248	0	-6702.962	-6732.934	29.9718	22.35907	4.973012
249	1	-6708.425	-6739.329	30.90354	21.50597	4.930489
250	0	-6703.749	-6728.567	24.81863	18.73328	5.182067
251	1	-6691.348	-6724.946	33.59759	22.5228	4.811029
252	0	-6683.53	-6720.087	36.55748	21.79877	4.672307
253	1	-6706.579	-6735.542	28.96385	20.64062	5.014716
254	0	-6696.372	-6728.453	32.08093	26.75669	4.802265
255	1	-6697.451	-6738.733	41.28232	26.90268	4.45595
256	0	-6694.349	-6731.477	37.12708	23.37247	4.656885
257	1	-6708.005	-6743.35	35.34465	24.24651	4.72642
258	0	-6707.803	-6735.27	27.46643	23.4349	5.069042
259	1	-6694.806	-6732.326	37.52068	25.51886	4.621996
260	0	-6714.696	-6744.967	30.27074	24.48657	4.9308
261	1	-6698.208	-6728.441	30.23306	21.37825	4.961018
262	0	-6688.194	-6726.946	38.75178	25.56256	4.573157
263	1	-6699.752	-6733.693	33.94087	21.75432	4.79194
264	0	-6693.901	-6730.373	36.47256	25.26395	4.667233
