Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
3490	-6697.539	-6730.927	33.38797	20.69236	4.801544
3500	-6697.389	-6730.019	32.63018	20.80586	4.840391
3510	-6697.694	-6725.929	28.23446	24.03693	5.024365
3520	-6690.375	-6730.568	40.19236	24.93586	4.522863
3530	-6706.384	-6743.906	37.52231	21.99873	4.631065
3540	-6708.59	-6747.239	38.64896	23.65687	4.591936
3550	-6684.465	-6724.003	39.53841	25.27901	4.545717
3560	-6693.435	-6725.168	31.73317	23.31617	4.888262
3570	-6690.733	-6720.9	30.16656	20.95364	4.960586
3580	-6688.869	-6722.249	33.37975	21.90625	4.818833
3590	-6689.606	-6725.357	35.75085	25.08316	4.698733
3600	-6699.35	-6733.422	34.0715	21.15417	4.777951
3610	-6700.684	-6733.522	32.83807	20.41703	4.821788
3620	-6693.868	-6728.661	34.79348	26.42171	4.70914
3630	-6690.517	-6724.419	33.90215	21.08461	4.784753
3640	-6702.957	-6732.429	29.47166	23.5532	4.981599
3650	-6709.851	-6738.14	28.28907	21.36987	5.051937
3660	-6702.165	-6732.704	30.53911	23.74151	4.933441
3670	-6698.128	-6730.383	32.2551	24.40345	4.851216
3680	-6695.289	-6730.387	35.09854	21.19527	4.73019
3690	-6695.92	-6727.186	31.26517	20.3573	4.897524
3700	-6701.893	-6735.281	33.38782	21.01714	4.807995
3710	-6693.657	-6731.15	37.4927	22.53573	4.638191
3720	-6685.8	-6724.39	38.58947	26.92962	4.555488
3730	-6716.09	-6743.674	27.58347	21.6858	5.084434
3740	-6698.29	-6727.108	28.8183	23.124	5.016159
3750	-6684.026	-6724.736	40.71001	23.03687	4.501166
3760	-6704.122	-6736.075	31.95303	21.23538	4.879064
3770	-6704.43	-6728.945	24.51501	19.43196	5.217116
3780	-6702.196	-6726.792	24.59527	18.90199	5.199445
3790	-6700.841	-6734.643	33.80169	23.51066	4.798113
3800	-6693.407	-6726.049	32.64247	25.79416	4.80666
3810	-6713.104	-6741.099	27.99486	26.10081	4.977068
3820	-6708.706	-6738.436	29.73059	22.30136	4.98412
3830	-6705.825	-6733.41	27.58472	21.6963	5.08434
3840	-6690.693	-6731.063	40.36988	21.95046	4.500653
3850	-6705.575	-6730.276	24.70064	20.90518	5.221496
3860	-6700.071	-6728.598	28.52702	25.01902	4.988461
3870	-6704.11	-6729.782	25.67207	20.85406	5.174937
3880	-6707.944	-6733.119	25.17502	19.63698	5.187343
3890	-6717.662	-6741.657	23.99513	20.99497	5.254981
3900	-6687.385	-6719.904	32.5191	22.3784	4.859079
3910	-6705.485	-6739.008	33.52217	22.9703	4.813474
3920	-6704.434	-6733.85	29.41552	20.49791	4.990739
3930	-6692.362	-6724.273	31.91159	21.77594	4.885327
3940	-6706.685	-6735.081	28.39527	24.64503	5.003486
3950	-6715.907	-6751.916	36.00965	26.65867	4.657729
3960	-6708.553	-6734.179	25.62603	22.06528	5.171103
3970	-6696.983	-6729.501	32.51786	26.10391	4.803698
3980	-6690.645	-6721.049	30.4036	22.91481	4.949781
3990	-6700.984	-6727.084	26.09927	18.70365	5.11256
4000	-6691.548	-6721.832	30.28435	22.71908	4.956729
4010	-6691.323	-6725.859	34.53583	20.86111	4.750057
4020	-6705.185	-6730.946	25.76122	21.64251	5.168768
4030	-6707.512	-6733.409	25.89769	22.83186	5.147894
4040	-6693.574	-6727.772	34.1985	20.7732	4.764272
4050	-6691.276	-6727.207	35.93103	22.86194	4.708499
4060	-6700.768	-6732.642	31.87415	22.83539	4.886113
4070	-6695.105	-6726.76	31.65499	19.40528	4.848623
4080	-6689.194	-6731.049	41.85559	23.56168	4.455864
4090	-6690.055	-6721.481	31.42637	22.12554	4.908248
4100	-6695.304	-6722.535	27.23163	22.93039	5.087962
