Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
373	1	-4101.881	-4116.347	14.46587	18.95514	5.486975
374	0	-4092.431	-4105.056	12.62473	20.16598	5.583787
375	1	-4094.7	-4105.892	11.19162	21.03385	5.639645
376	0	-4101.935	-4114.764	12.82858	21.82051	5.544243
377	1	-4108.166	-4126.23	18.06354	20.59186	5.314727
378	0	-4113.926	-4122.292	8.366803	17.52871	5.793363
379	1	-4122.128	-4127.508	5.380889	20.31074	5.93901
380	0	-4122.205	-4126.013	3.808447	16.98664	6.044002
381	1	-4097.123	-4112.311	15.1878	19.14617	5.45171
382	0	-4126.615	-4131.34	4.724978	18.5344	6.004778
383	1	-4112.113	-4119.485	7.372617	16.37171	5.806329
384	0	-4122.914	-4128.798	5.884371	17.52607	5.934937
385	1	-4095.906	-4103.176	7.270207	20.41223	5.843522
386	0	-4112.905	-4118.835	5.93021	17.22925	5.92594
387	1	-4103.181	-4118.055	14.87338	19.8638	5.472681
388	0	-4115.273	-4126.038	10.7645	18.64513	5.680109
389	1	-4090.282	-4111.225	20.94233	22.80286	5.159178
390	0	-4116.972	-4123.885	6.913415	21.37379	5.83169
391	1	-4104.56	-4114.501	9.941493	20.15989	5.716939
392	0	-4086.866	-4096.353	9.487086	19.43796	5.748076
393	1	-4111.47	-4122.201	10.73075	20.79447	5.666833
394	0	-4104.963	-4119.355	14.39238	18.5267	5.483013
395	1	-4098.74	-4116.378	17.63766	20.00024	5.334446
396	0	-4093.778	-4114.959	21.18129	20.39013	5.161823
397	1	-4109.92	-4116.101	6.18085	19.96016	5.908186
398	0	-4106.515	-4114.237	7.722142	18.70137	5.843305
399	1	-4100.014	-4121.143	21.12967	22.78221	5.151318
400	0	-4100.737	-4110.555	9.817677	16.54903	5.667783
401	1	-4111.102	-4117.22	6.118587	16.00989	5.862663
402	0	-4092.448	-4103.861	11.41266	17.61751	5.622678
403	1	-4103.956	-4121.107	17.15101	18.78518	5.34131
404	0	-4079.105	-4095.417	16.31173	19.94026	5.400568
