Iteration	Posterior	Likelihood	Prior	br_len_lambda	tree_length
3750	-4087.638	-4103.985	16.34706	19.25167	5.392777
3760	-4106.909	-4118.578	11.6697	20.34095	5.628979
3770	-4097.561	-4108.226	10.66512	18.64982	5.685483
3780	-4115.957	-4123.628	7.671095	20.93463	5.809967
3790	-4102.709	-4115.534	12.82537	19.40231	5.576258
3800	-4097.921	-4110.161	12.23967	22.84235	5.539461
3810	-4098.716	-4115.844	17.12836	20.29168	5.360618
3820	-4114.436	-4127.074	12.63853	18.03031	5.566534
3830	-4125.149	-4140.837	15.68811	19.11705	5.425151
3840	-4107.131	-4118.983	11.85246	21.30407	5.602264
3850	-4105.213	-4115.169	9.956461	23.86594	5.596522
3860	-4106.548	-4111.294	4.746341	19.57436	5.989187
3870	-4102.527	-4111.711	9.183438	20.94636	5.737422
3880	-4114.741	-4129.634	14.8933	18.64653	5.458698
3890	-4105.979	-4118.931	12.95189	18.28116	5.555671
3900	-4116.013	-4125.372	9.359146	21.35936	5.717688
3910	-4122.294	-4127.241	4.946323	18.23143	5.993595
3920	-4090.479	-4104.013	13.53437	19.24052	5.538801
3930	-4087.393	-4100.703	13.31039	20.71649	5.543903
3940	-4099.705	-4116.44	16.73553	22.56116	5.349681
3950	-4094.406	-4109.131	14.72548	19.8946	5.480133
3960	-4107.38	-4116.033	8.652617	15.12428	5.624954
3970	-4087.356	-4101.533	14.17688	21.58668	5.487607
3980	-4108.414	-4119.59	11.17663	18.23201	5.651871
3990	-4098.06	-4116.092	18.03223	22.36168	5.296321
4000	-4098.625	-4105.098	6.472522	18.70642	5.910107
4010	-4084.303	-4096.362	12.05834	19.34134	5.615735
4020	-4100.215	-4107.077	6.861244	18.97986	5.887996
4030	-4087.891	-4099.888	11.99723	21.82925	5.5821
4040	-4092.458	-4110.314	17.85539	22.92896	5.291513
4050	-4088.963	-4108.509	19.54594	21.58324	5.238919
4060	-4082.322	-4103.42	21.09822	17.56044	5.069166
