Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
135	1	-6628.252	-6668.68	40.4281	3.029772	27.77451	0.391552	0.733163	1.08266	1.79263	3.886235
136	0	-6656.053	-6691.748	35.69563	2.077863	26.51298	0.302395	0.663046	1.07182	1.96274	4.061042
137	1	-6630.023	-6673.065	43.04226	2.480718	28.45178	0.344621	0.698011	1.07841	1.87896	3.79277
138	0	-6654.222	-6680.958	26.73544	1.999052	27.01271	0.293162	0.654913	1.06997	1.98196	4.39203
139	1	-6643.161	-6681.826	38.66505	1.696563	23.96485	0.254153	0.618309	1.06015	2.06739	3.913745
140	0	-6654.998	-6688.994	33.9968	2.608983	31.70833	0.356552	0.707289	1.07976	1.8564	4.054167
141	1	-6666.292	-6688.433	22.14101	2.026396	24.30011	0.296405	0.657792	1.07064	1.97517	4.601592
142	0	-6623.889	-6663.166	39.2771	1.595601	33.08519	0.23972	0.603733	1.05558	2.10097	3.862708
143	1	-6645.089	-6673.669	28.57974	2.191657	23.52528	0.315127	0.67396	1.07412	1.93679	4.330389
144	0	-6633.327	-6682.141	48.81396	2.138287	30.68286	0.309241	0.668957	1.07309	1.94871	3.592361
145	1	-6632.035	-6675.685	43.65025	1.303717	31.56135	0.193348	0.552252	1.03647	2.21793	3.751481
146	0	-6635.143	-6680.249	45.10627	1.339292	28.70875	0.199395	0.559421	1.0394	2.20178	3.720527
147	1	-6640.586	-6681.259	40.67308	1.63884	27.07364	0.245996	0.610146	1.05763	2.08623	3.876295
148	0	-6613.614	-6675.565	61.95088	1.024799	32.63313	0.141875	0.484081	1.00399	2.37005	3.17654
149	1	-6640.696	-6672.208	31.51168	2.513063	29.09094	0.347692	0.700423	1.07877	1.87311	4.187703
150	0	-6612.736	-6673.576	60.83943	0.9869189	35.46012	0.134336	0.472784	0.997798	2.39508	3.203446
151	1	-6668.998	-6688.232	19.23388	2.961033	26.4254	0.386225	0.729347	1.08232	1.80211	4.683967
152	0	-6634.226	-6688.637	54.41075	0.9617723	31.15702	0.129265	0.464952	0.993365	2.41242	3.410634
