Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
115	1	-4051.047	-4069.747	18.70002	0.888746	19.85524	0.114257	0.440554	0.978807	2.46638	4.937297
116	0	-4112.022	-4117.438	5.415294	62276.13	18.47331	0.994911	0.998694	1.0013	1.0051	5.599451
117	1	-4036.204	-4065.899	29.69488	0.9267389	21.39209	0.122114	0.453567	0.986715	2.4376	4.448069
118	0	-4113.858	-4111.99	-1.867357	88255.33	18.50165	0.995725	0.998904	1.00109	1.00428	5.993552
119	1	-4033.274	-4068.762	35.48813	0.5223385	24.34752	0.0375991	0.266249	0.835866	2.86029	4.246525
120	0	-4119.639	-4124.694	5.055588	9359.301	19.75111	0.986892	0.996614	1.00333	1.01317	5.625116
121	1	-4022.409	-4054.045	31.6358	1.028002	24.21453	0.142507	0.48501	1.00449	2.36799	4.404478
122	0	-4109.327	-4115.007	5.679904	93340.74	18.74055	0.995843	0.998934	1.00106	1.00416	5.589234
123	1	-4032.044	-4050.034	17.99014	0.9417568	21.90645	0.125191	0.458517	0.989637	2.42666	4.9958
124	0	-4116.948	-4121.929	4.980509	45731.47	19.64841	0.994062	0.998476	1.00151	1.00595	5.629402
125	1	-4051.577	-4060.907	9.329949	0.9454807	23.04179	0.125951	0.459728	0.990344	2.42398	5.363432
126	0	-4115.694	-4114.898	-0.7958847	67371.2	18.0092	0.995107	0.998745	1.00125	1.0049	5.934144
127	1	-4050.101	-4061.324	11.22251	0.9787398	19.65955	0.132693	0.470267	0.996386	2.40065	5.311852
128	0	-4105.718	-4107.332	1.614142	33682.94	18.20761	0.993083	0.998223	1.00176	1.00693	5.802937
129	1	-4037.552	-4051.708	14.15566	1.085926	19.76275	0.153773	0.501138	1.0129	2.33219	5.164588
130	0	-4114.242	-4120.864	6.621775	1906.849	19.78732	0.971043	0.992416	1.00728	1.02926	5.545765
131	1	-4049.605	-4059.71	10.10541	1.443211	21.42091	0.216415	0.578823	1.0469	2.15786	5.36342
132	0	-4112.871	-4115.364	2.493473	5098.594	22.13893	0.982255	0.995397	1.00449	1.01786	5.695094
133	1	-4050.392	-4061.818	11.42644	1.057042	22.89961	0.148193	0.49325	1.00884	2.34971	5.27588
134	0	-4115.508	-4124.753	9.244901	49931.97	21.56861	0.994317	0.998541	1.00145	1.00569	5.401219
135	1	-4042.511	-4063.752	21.24075	0.9208171	19.31702	0.120896	0.451586	0.985532	2.44199	4.788147
136	0	-4110.806	-4110.958	0.1520216	98396.74	16.13227	0.995951	0.998962	1.00103	1.00406	5.818138
137	1	-4020.084	-4045.347	25.26308	0.795047	20.07182	0.0945044	0.405132	0.955573	2.54479	4.615962
138	0	-4104.783	-4106.333	1.550219	50447.06	16.16561	0.994346	0.998549	1.00144	1.00566	5.733665
139	1	-4045.712	-4056.461	10.74907	1.483356	19.48823	0.22274	0.585762	1.04943	2.14207	5.33385
140	0	-4108.761	-4111.215	2.453036	44952.61	19.2658	0.994011	0.998462	1.00152	1.006	5.76102
141	1	-4032.919	-4047.945	15.02621	1.091209	20.84038	0.154785	0.502549	1.01361	2.32906	5.133302
142	0	-4100.699	-4110.716	10.01692	86908.79	21.31314	0.995692	0.998895	1.0011	1.00431	5.368962
143	1	-4032.116	-4050.626	18.51005	1.014045	22.11038	0.139748	0.480933	1.00229	2.37703	4.97172
144	0	-4122.874	-4129.583	6.709043	97908.37	17.09037	0.995941	0.99896	1.00103	1.00407	5.478553
145	1	-4020.897	-4041.583	20.68603	1.17407	22.95879	0.170323	0.523476	1.02377	2.28244	4.871154
146	0	-4115.348	-4121.179	5.831339	2387.401	17.70096	0.974106	0.993236	1.00652	1.02613	5.556354
147	1	-4040.802	-4047.965	7.163256	1.569639	22.5303	0.235882	0.599752	1.05426	2.1101	5.473313
148	0	-4113.829	-4122.698	8.868343	75629.62	22.80414	0.995382	0.998816	1.00118	1.00463	5.390279
149	1	-4044.859	-4057.404	12.54435	1.476529	19.47264	0.221674	0.584603	1.04901	2.14471	5.241441
150	0	-4118.028	-4114.565	-3.462452	46058.51	20.2239	0.994083	0.998481	1.00151	1.00593	6.042298
151	1	-4031.675	-4047.488	15.81323	0.9968323	18.66446	0.136321	0.475798	0.999473	2.38841	5.045283
152	0	-4101.367	-4105.445	4.078085	66119.22	17.44907	0.995061	0.998733	1.00126	1.00495	5.647112
153	1	-4046.96	-4055.861	8.901273	0.7929714	19.96261	0.0940623	0.404289	0.954988	2.54666	5.431048
154	0	-4121.513	-4123.933	2.420118	64691.48	19.41696	0.995007	0.998719	1.00127	1.005	5.761792
155	1	-4033.195	-4054.561	21.36653	0.8902219	19.8776	0.114564	0.441073	0.979129	2.46523	4.80377
156	0	-4097.007	-4104.4	7.393647	18991.98	15.99391	0.990792	0.997629	1.00234	1.00924	5.356569
157	1	-4041.01	-4055	13.99023	1.058832	21.2909	0.148541	0.493748	1.0091	2.34861	5.182618
158	0	-4107.826	-4117.145	9.319427	26253.17	20.03776	0.992166	0.997985	1.00199	1.00786	5.410251
159	1	-4044.378	-4057.337	12.95829	0.9116243	23.21413	0.119001	0.448476	0.98366	2.44886	5.202103
160	0	-4117.165	-4111.024	-6.141153	68738.83	23.9463	0.995156	0.998758	1.00123	1.00485	5.98106
161	1	-4040.122	-4062.048	21.92594	1.0113	23.45856	0.139203	0.480122	1.00185	2.37883	4.813993
162	0	-4122.192	-4118.084	-4.107898	67934.7	20.25504	0.995127	0.99875	1.00124	1.00488	6.07315
163	1	-4046.159	-4060.591	14.43257	0.8030926	17.12221	0.0962167	0.408376	0.957808	2.5376	5.029195
164	0	-4116.961	-4122.511	5.550651	29340.64	19.94469	0.992589	0.998095	1.00189	1.00743	5.599015
165	1	-4031.335	-4048.066	16.73086	1.222459	21.17334	0.179099	0.534738	1.02891	2.25725	5.053516
166	0	-4122.093	-4127.405	5.312226	47370.1	19.26747	0.994166	0.998502	1.00149	1.00585	5.612617
167	1	-4038.75	-4056.532	17.78228	1.03832	20.54073	0.144536	0.487974	1.00607	2.36142	4.997255
168	0	-4108.667	-4116.258	7.590297	41097	16.31867	0.993737	0.998392	1.00159	1.00628	5.373133
169	1	-4037.811	-4042.15	4.338916	1.224027	17.13643	0.17938	0.535092	1.02907	2.25646	5.619347
170	0	-4093.029	-4110.62	17.59114	69297.88	18.84035	0.995176	0.998763	1.00123	1.00483	4.958203
171	1	-4060.117	-4063.013	2.896132	1.593448	20.42409	0.239404	0.603406	1.05547	2.10172	5.724282
172	0	-4103.928	-4113.081	9.15371	37946.35	17.84489	0.993482	0.998326	1.00166	1.00653	5.375026
173	1	-4048.789	-4051.103	2.31445	1.620301	19.43155	0.243323	0.607428	1.05677	2.09248	5.767122
174	0	-4096.578	-4111.873	15.29493	16980.8	19.42664	0.990262	0.997492	1.00247	1.00977	5.098981
175	1	-4064.231	-4063.368	-0.8634406	1.221656	21.20669	0.178955	0.534556	1.02883	2.25766	5.883298
176	0	-4109.279	-4117.406	8.127815	58547.76	22.2193	0.994752	0.998653	1.00134	1.00526	5.438621
177	1	-4038.412	-4048.383	9.97156	1.077663	18.28345	0.152184	0.498912	1.01176	2.33714	5.346624
178	0	-4111.931	-4114.247	2.316503	2490.654	20.99108	0.974646	0.99338	1.00639	1.02558	5.739281
179	1	-4042.251	-4052.725	10.47338	1.244203	18.63716	0.182972	0.539589	1.03106	2.24638	5.330607
180	0	-4112.92	-4112.42	-0.49945	3844.976	16.48019	0.979576	0.99469	1.00516	1.02057	5.876922
181	1	-4041.9	-4051.157	9.257064	0.9158001	19.07046	0.119863	0.449894	0.984516	2.44573	5.40491
182	0	-4113.217	-4120.56	7.342838	27978.04	17.64858	0.992411	0.998049	1.00193	1.00761	5.468819
183	1	-4053.19	-4052.369	-0.8209471	1.515507	19.75034	0.227708	0.591117	1.05132	2.12986	5.922661
184	0	-4113.569	-4112.457	-1.112122	384.1597	18.00425	0.935913	0.9827	1.01581	1.06557	5.95167
185	1	-4062.733	-4062.113	-0.6198019	1.467774	21.18947	0.220301	0.583103	1.04847	2.14812	5.872412
186	0	-4089.149	-4082.981	-6.168315	11.38327	17.36916	0.652369	0.880413	1.06967	1.39755	6.23407
187	1	-4048.717	-4056.555	7.838227	1.521462	20.80605	0.228619	0.59209	1.05166	2.12763	5.478623
188	0	-4064.141	-4065.389	1.24805	1.522853	17.14013	0.228831	0.592317	1.05174	2.12712	5.799843
189	1	-4036.216	-4055.398	19.1826	1.813677	19.87606	0.269971	0.633615	1.06454	2.03187	4.913594
190	0	-4032.167	-4048.561	16.39385	1.475131	20.82802	0.221455	0.584364	1.04893	2.14525	5.067585
191	1	-4062.44	-4069.74	7.299752	1.122748	20.7812	0.160774	0.510774	1.01769	2.31076	5.504827
192	0	-4030.824	-4048.76	17.93624	0.7304759	20.06549	0.0807062	0.377561	0.935659	2.60607	4.980851
193	1	-4053.321	-4067.973	14.65193	0.9788321	20.17694	0.132711	0.470296	0.996402	2.40059	5.14603
194	0	-4024.86	-4052.436	27.5759	0.7589947	23.49038	0.0868086	0.390086	0.944911	2.57819	4.5732
195	1	-4026.191	-4059.68	33.48848	0.7684278	25.96079	0.0888251	0.394105	0.947807	2.56926	4.326491
196	0	-4040.47	-4054.077	13.60755	0.9727871	24.74425	0.131493	0.468417	0.99534	2.40475	5.133315
197	1	-4040.136	-4059.101	18.96573	1.06686	20.19385	0.150098	0.495965	1.01025	2.34369	4.932622
198	0	-4042.926	-4061.765	18.83876	0.9727871	22.70542	0.131493	0.468417	0.99534	2.40475	4.953873
199	1	-4033.695	-4048.624	14.92984	0.867462	22.34096	0.109812	0.432941	0.974028	2.48322	5.13107
200	0	-4035.799	-4042.091	6.292044	1.030532	19.09934	0.143005	0.485741	1.00488	2.36637	5.56063
201	1	-4040.177	-4062.545	22.36806	1.379298	22.40954	0.20606	0.56715	1.04247	2.18432	4.798289
202	0	-4023.826	-4046.545	22.71984	0.8168964	21.41779	0.0991487	0.413849	0.961529	2.52547	4.774493
203	1	-4028.438	-4055.846	27.40796	0.8373205	19.71921	0.103472	0.421736	0.966783	2.50801	4.491744
204	0	-4042.493	-4053.55	11.05684	1.028343	19.98751	0.142574	0.485108	1.00454	2.36778	5.323235
205	1	-4059.048	-4065.598	6.550482	0.6556208	23.12448	0.0647461	0.341816	0.907243	2.68619	5.481239
206	0	-4043.708	-4053.557	9.848885	1.186355	22.00712	0.172572	0.526398	1.02512	2.27591	5.365511
207	1	-4039.894	-4049.214	9.320678	1.105008	17.79866	0.157417	0.506189	1.01543	2.32096	5.363657
208	0	-4052.229	-4063.447	11.21783	1.771555	18.37801	0.264392	0.628293	1.06306	2.04425	5.28199
209	1	-4045.06	-4057.503	12.44312	0.9788693	19.16233	0.132719	0.470307	0.996409	2.40057	5.240112
210	0	-4041.508	-4060.178	18.67042	0.8483316	28.2432	0.105794	0.425888	0.969497	2.49882	4.822495
211	1	-4018.696	-4035.519	16.8235	1.073804	23.44743	0.15144	0.497864	1.01123	2.33947	5.031699
212	0	-4038.203	-4062.077	23.87358	0.8729364	26.23237	0.110958	0.434922	0.975282	2.47884	4.690986
213	1	-4030.861	-4046.128	15.26707	1.27209	21.71894	0.187874	0.545632	1.03367	2.23282	5.12131
214	0	-4045.473	-4057.268	11.79498	1.141709	23.85181	0.164331	0.515562	1.02002	2.30009	5.234834
215	1	-4033.258	-4050.818	17.55999	0.7159032	23.22153	0.0775879	0.370938	0.930622	2.62085	5.003767
216	0	-4049.007	-4055.719	6.711875	1.291654	18.8511	0.191271	0.549755	1.03542	2.22355	5.535797
217	1	-4036.993	-4056.746	19.75251	0.9440818	21.67254	0.125666	0.459274	0.990079	2.42498	4.914587
218	0	-4035.357	-4050.691	15.33387	1.419368	20.7761	0.212593	0.574561	1.04531	2.16753	5.118193
219	1	-4066.24	-4060.258	-5.982658	1.333424	17.13672	0.198406	0.558258	1.03893	2.2044	6.221667
220	0	-4059.273	-4062.744	3.470163	1.035023	21.93934	0.143889	0.487032	1.00557	2.36351	5.657561
221	1	-4037.575	-4048.62	11.04452	0.8821901	23.50043	0.112891	0.438234	0.977363	2.47151	5.276666
222	0	-4039.464	-4059.564	20.09942	0.8309094	20.82787	0.102117	0.419287	0.965165	2.51343	4.88967
223	1	-4023.162	-4051.262	28.09977	0.7938672	22.31508	0.0942531	0.404653	0.955241	2.54585	4.541203
224	0	-4027.717	-4046.499	18.78237	1.50092	24.09468	0.225465	0.588709	1.05048	2.13535	4.937566
225	1	-4050.609	-4064.587	13.97784	0.6850883	22.32154	0.0710064	0.356409	0.919215	2.65337	5.173955
226	0	-4040.501	-4061.362	20.86097	1.266862	21.23858	0.186961	0.544514	1.03319	2.23533	4.859284
227	1	-4029.519	-4040.337	10.81821	1.473134	21.12455	0.221142	0.584023	1.0488	2.14603	5.333204
228	0	-4028.99	-4049.998	21.0085	0.7768482	20.50378	0.0906236	0.397643	0.950327	2.56141	4.839351
229	1	-4042.868	-4056.199	13.33166	0.9406932	18.09844	0.124974	0.45817	0.989433	2.42742	5.154166
230	0	-4025.449	-4056.183	30.73388	0.7742937	21.95112	0.0900781	0.396575	0.949569	2.56378	4.415162
231	1	-4033.08	-4041.232	8.151742	1.202937	21.86039	0.175585	0.530274	1.0269	2.26724	5.445923
232	0	-4021.681	-4058.624	36.94249	0.7586999	24.58498	0.0867455	0.389959	0.94482	2.57848	4.189031
233	1	-4033.968	-4047.284	13.31659	1.431112	17.94818	0.214482	0.576673	1.04611	2.16274	5.147341
234	0	-4030.079	-4055.442	25.36358	0.768583	20.18504	0.0888582	0.394171	0.947855	2.56912	4.615459
235	1	-4051.41	-4056.468	5.057516	1.356361	18.12303	0.202256	0.56276	1.04074	2.19424	5.611921
236	0	-4029.74	-4051.69	21.95046	0.9787116	21.29646	0.132687	0.470258	0.996381	2.40067	4.808817
237	1	-4040.992	-4049.381	8.388885	1.084677	18.50655	0.153533	0.500803	1.01273	2.33294	5.439334
238	0	-4045.875	-4057.668	11.79384	1.328773	23.55117	0.197619	0.557331	1.03856	2.20649	5.243398
239	1	-4038.636	-4056.626	17.99021	0.8322863	20.53586	0.102408	0.419815	0.965515	2.51226	4.987058
240	0	-4039.22	-4060.597	21.37745	0.627206	20.30816	0.0587634	0.327061	0.894588	2.71959	4.816384
