Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1940	-4055.541	-4068.158	12.61723	1.223634	23.67433	0.17931	0.535003	1.02903	2.25666	5.205196
1950	-4056.837	-4061.81	4.972303	1.255406	17.77687	0.18495	0.54204	1.03213	2.24088	5.607298
1960	-4051.874	-4064.024	12.14989	1.156033	18.79975	0.166995	0.519104	1.02171	2.29219	5.245808
1970	-4055.437	-4066.33	10.89313	1.199223	20.72897	0.174912	0.529412	1.0265	2.26917	5.332133
1980	-4037.878	-4053.289	15.41042	1.033656	22.43106	0.14362	0.486639	1.00536	2.36438	5.108507
1990	-4044.258	-4060.317	16.05888	1.247852	22.78785	0.183618	0.540391	1.03141	2.24458	5.07519
2000	-4060.827	-4068.72	7.892738	1.778128	20.61501	0.26527	0.629136	1.0633	2.04229	5.47804
2010	-4034.642	-4051.962	17.32001	0.6740278	19.18257	0.0686515	0.351014	0.91485	2.66548	4.986355
2020	-4035.6	-4045.368	9.768183	1.014987	21.70743	0.139934	0.481211	1.00244	2.37642	5.37469
2030	-4033.452	-4059.177	25.72448	1.16741	22.69369	0.169098	0.521873	1.02302	2.28601	4.650544
2040	-4034.217	-4059.656	25.43953	1.380327	20.79736	0.206229	0.567344	1.04255	2.18388	4.632403
2050	-4038.76	-4053.368	14.60786	0.9378222	21.5586	0.124387	0.45723	0.988882	2.4295	5.152625
2060	-4053.149	-4059.703	6.553914	0.9472222	20.70285	0.126307	0.460292	0.990673	2.42273	5.541825
2070	-4049.368	-4052.317	2.948673	1.091388	20.95011	0.154819	0.502596	1.01363	2.32895	5.710183
2080	-4040.958	-4057.348	16.39018	0.963417	21.71845	0.129598	0.465473	0.993664	2.41127	5.0696
2090	-4067.241	-4069.344	2.102549	1.815068	18.85005	0.270153	0.633788	1.06459	2.03147	5.780308
2100	-4063.947	-4064.851	0.9037516	1.095822	18.07945	0.155667	0.503773	1.01423	2.32634	5.840633
2110	-4050.066	-4070.246	20.18009	0.7135228	22.36917	0.0770788	0.369841	0.929778	2.6233	4.896012
2120	-4041.353	-4048.156	6.802805	1.02026	19.60606	0.140978	0.482758	1.00328	2.37299	5.536613
2130	-4031.78	-4048.357	16.57774	0.9635543	21.79489	0.129626	0.465516	0.993688	2.41117	5.060728
2140	-4043.651	-4067.16	23.50933	1.048088	24.62783	0.146448	0.490744	1.00753	2.35528	4.734831
2150	-4028.663	-4057.37	28.70702	0.9602912	21.5095	0.128964	0.464482	0.993096	2.41346	4.49738
2160	-4014.274	-4053.648	39.37393	0.7322696	23.81788	0.0810901	0.378366	0.936264	2.60428	4.077912
2170	-4014.366	-4052.153	37.78734	0.8287363	26.71495	0.101657	0.418451	0.96461	2.51528	4.158919
2180	-4019.283	-4057.481	38.19775	0.6209417	26.00076	0.057454	0.323714	0.891638	2.72719	4.145098
2190	-4012.778	-4065.101	52.32281	0.4626895	27.89482	0.0266988	0.226862	0.7911	2.95534	3.62854
2200	-4022.602	-4069.57	46.96811	0.7624554	29.25118	0.0875485	0.391567	0.945983	2.5749	3.817487
2210	-4017.17	-4061.579	44.40939	0.4540569	29.1487	0.0252223	0.220869	0.783729	2.97018	3.905788
2220	-4016.381	-4056.328	39.94705	0.7168671	26.09435	0.0777941	0.371381	0.930962	2.61986	4.078036
2230	-4035.059	-4059.881	24.82233	1.04934	27.0549	0.146692	0.491096	1.00772	2.35449	4.636173
2240	-4031.675	-4058.547	26.87148	1.102138	24.51733	0.156871	0.505437	1.01506	2.32263	4.599213
2250	-4054.258	-4064.214	9.956376	0.9149253	22.32246	0.119682	0.449597	0.984337	2.44638	5.354095
2260	-4048.869	-4063.946	15.07651	0.6977046	17.17895	0.073698	0.362445	0.924015	2.63984	4.996201
2270	-4028.148	-4047.025	18.87659	1.039381	22.22495	0.144744	0.488277	1.00623	2.36075	4.954844
2280	-4055.175	-4058.432	3.25675	1.267523	20.0661	0.187077	0.544656	1.03325	2.23501	5.712422
2290	-4054.112	-4064.433	10.32034	1.069604	21.18646	0.150629	0.496718	1.01064	2.34201	5.356143
2300	-4042.973	-4058.804	15.83144	0.8912989	24.30656	0.114788	0.441451	0.979363	2.4644	5.05489
2310	-4038.41	-4053.081	14.6706	0.8511747	18.39304	0.106392	0.426949	0.970185	2.49647	5.094812
2320	-4050.104	-4060.878	10.77419	1.021702	24.74239	0.141264	0.483179	1.0035	2.37205	5.247887
2330	-4048.564	-4067.964	19.39976	1.072539	20.99163	0.151196	0.497519	1.01105	2.34023	4.925454
2340	-4054.036	-4060.955	6.918672	1.395994	19.59877	0.208799	0.570277	1.04368	2.17724	5.53069
2350	-4044.03	-4052.868	8.838413	1.087975	20.05827	0.154165	0.501686	1.01317	2.33097	5.434259
2360	-4035.609	-4052.19	16.58053	1.052707	21.24209	0.147349	0.49204	1.00821	2.3524	5.060835
2370	-4021.549	-4047.489	25.94002	0.6884682	21.87659	0.0717269	0.358038	0.920519	2.64972	4.632449
2380	-4020.548	-4051.471	30.92231	0.7390568	23.77169	0.0825427	0.38139	0.938524	2.59754	4.43253
2390	-4034.193	-4068.156	33.96254	1.024241	29.18171	0.141765	0.483919	1.0039	2.37041	4.263519
2400	-4023.404	-4060.084	36.68026	0.8351598	23.07541	0.103015	0.420914	0.96624	2.50983	4.177208
2410	-4002.31	-4036.068	33.75855	1.011707	27.52108	0.139284	0.480243	1.00191	2.37856	4.299695
2420	-4035.639	-4057.624	21.98439	0.6156682	18.47127	0.0563549	0.32087	0.889107	2.73367	4.702396
2430	-4038.49	-4058.092	19.60232	1.406056	23.23344	0.210438	0.572134	1.04439	2.17303	4.915689
2440	-4037.329	-4061.125	23.79635	0.9726971	20.6373	0.131474	0.468389	0.995324	2.40481	4.7072
2450	-4044.267	-4059.852	15.58443	1.222401	19.79755	0.179089	0.534724	1.0289	2.25728	5.093031
2460	-4047.972	-4055.691	7.718983	1.644499	21.22553	0.246806	0.610965	1.05789	2.08434	5.478282
2470	-4067.605	-4062.35	-5.255045	1.507373	17.56581	0.226459	0.589779	1.05085	2.13291	6.182472
