Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
107	1	-4131.541	-4124.04	-7.501275	44868.23	22.99585	0.994006	0.998461	1.00153	1.00601	6.096663
108	0	-4130.324	-4123.489	-6.835271	44216.12	17.86552	0.993962	0.99845	1.00154	1.00605	6.27086
109	1	-4124.657	-4125.048	0.3914788	13080.3	17.33089	0.988908	0.997139	1.00282	1.01114	5.855393
110	0	-4112.687	-4115.13	2.443094	19131.07	16.25053	0.990825	0.997638	1.00233	1.0092	5.684146
111	1	-4127.57	-4128.819	1.248291	24318.95	17.98558	0.991861	0.997906	1.00207	1.00816	5.820298
112	0	-4134.479	-4135.511	1.03172	31852.66	17.2145	0.992887	0.998172	1.00181	1.00713	5.81491
113	1	-4115.029	-4119.093	4.06346	26855.86	16.00825	0.992254	0.998008	1.00197	1.00777	5.565947
114	0	-4119.387	-4122.407	3.020057	99645.13	22.14666	0.995976	0.998969	1.00103	1.00403	5.67104
115	1	-4120.966	-4119.358	-1.607399	79871.37	19.2259	0.995506	0.998848	1.00115	1.0045	5.972402
116	0	-4110.796	-4114.687	3.891094	42357.34	17.0806	0.993831	0.998416	1.00157	1.00618	5.642997
117	1	-4131.304	-4131.835	0.5311491	78725.79	21.38181	0.995473	0.998839	1.00115	1.00453	5.811714
118	0	-4120.587	-4123.201	2.613824	43716.33	16.5079	0.993927	0.998441	1.00155	1.00609	5.689628
119	1	-4132.534	-4128.028	-4.50573	18770.74	16.46076	0.990738	0.997615	1.00235	1.00929	6.11938
120	0	-4127.773	-4126.09	-1.682844	41276.18	20.24876	0.99375	0.998395	1.00159	1.00626	5.953602
121	1	-4125.04	-4123.9	-1.139891	43290.44	21.03273	0.993897	0.998433	1.00155	1.00612	5.902504
122	0	-4127.027	-4125.344	-1.683099	61471.76	20.32431	0.994878	0.998686	1.0013	1.00513	5.951446
123	1	-4141.617	-4135.339	-6.277952	9183.131	18.56641	0.986767	0.996581	1.00336	1.0133	6.230772
124	0	-4128.025	-4136.925	8.900569	76334.29	17.79767	0.995403	0.998821	1.00117	1.0046	5.387218
125	1	-4118.252	-4123.866	5.614005	86762.05	19.38627	0.995688	0.998894	1.0011	1.00432	5.59726
126	0	-4116.838	-4131.38	14.54223	97697.44	21.01167	0.995936	0.998958	1.00104	1.00407	5.15688
127	1	-4128.205	-4126.184	-2.020779	80617.31	18.65518	0.995527	0.998853	1.00114	1.00448	6.000861
128	0	-4130.496	-4131.229	0.7322039	4342.004	16.19264	0.980776	0.995007	1.00486	1.01936	5.785937
129	1	-4129.187	-4125.031	-4.155738	55023.55	19.20241	0.994586	0.998611	1.00138	1.00542	6.105468
130	0	-4127.259	-4130.716	3.457008	32915.98	19.96747	0.993003	0.998202	1.00178	1.00701	5.703712
131	1	-4120.241	-4122.207	1.965411	74080.68	18.36224	0.995334	0.998803	1.00119	1.00467	5.785298
132	0	-4125.925	-4129.255	3.329437	79580.21	18.74031	0.995498	0.998846	1.00115	1.00451	5.714654
133	1	-4138.522	-4136.553	-1.968758	79375	19.85291	0.995492	0.998844	1.00115	1.00452	5.978327
134	0	-4127.86	-4131.306	3.445786	4701.824	21.16108	0.981524	0.995205	1.00467	1.0186	5.681274
135	1	-4126.474	-4132.566	6.092413	54160.16	20.0235	0.994543	0.9986	1.00139	1.00547	5.57139
136	0	-4121.502	-4121.334	-0.1679381	7924.513	22.19802	0.985757	0.996317	1.00361	1.01431	5.812865
137	1	-4117.376	-4119.8	2.424057	18745.19	20.44923	0.990731	0.997613	1.00236	1.0093	5.746882
138	0	-4129.473	-4131.233	1.759126	39362.9	18.60003	0.993601	0.998356	1.00163	1.00641	5.79804
139	1	-4130.485	-4127.793	-2.6917	73428.01	18.7963	0.995313	0.998798	1.00119	1.00469	6.035306
140	0	-4128.362	-4131.712	3.349169	49578.59	18.16318	0.994297	0.998536	1.00145	1.00571	5.706897
141	1	-4137.269	-4130.785	-6.484188	55021.68	18.06831	0.994586	0.998611	1.00138	1.00542	6.249392
142	0	-4139.114	-4138.518	-0.5963666	49348.21	17.39425	0.994284	0.998533	1.00146	1.00573	5.913834
143	1	-4124.032	-4125.567	1.534564	13281.59	17.0701	0.988992	0.997161	1.0028	1.01105	5.780571
144	0	-4127.689	-4126.545	-1.143507	90300.09	17.66355	0.995773	0.998916	1.00108	1.00423	5.949883
145	1	-4138.75	-4136.314	-2.436724	58727.42	17.95933	0.99476	0.998655	1.00133	1.00525	6.025095
146	0	-4117.358	-4123.205	5.847463	54195.32	20.10323	0.994545	0.9986	1.00139	1.00547	5.583023
147	1	-4122.99	-4125.291	2.30025	92408.2	20.79591	0.995822	0.998929	1.00106	1.00418	5.745045
148	0	-4146.32	-4139.349	-6.970552	38158.06	16.63439	0.9935	0.99833	1.00165	1.00651	6.272874
149	1	-4127.984	-4131.737	3.752851	20988.54	18.56266	0.99124	0.997745	1.00223	1.00879	5.690467
150	0	-4137.754	-4135.162	-2.592724	97710.75	16.0648	0.995937	0.998958	1.00104	1.00407	5.984788
151	1	-4141.637	-4136.588	-5.048897	42655.5	20.55196	0.993852	0.998421	1.00157	1.00616	6.108321
152	0	-4141.144	-4137.735	-3.408863	62529.51	17.38476	0.994921	0.998697	1.00129	1.00509	6.075403
153	1	-4142.064	-4135.317	-6.746735	4011.18	18.08671	0.980002	0.994803	1.00505	1.02014	6.263706
154	0	-4117.308	-4117.663	0.3555833	26416.35	18.20428	0.99219	0.997992	1.00199	1.00783	5.872035
155	1	-4142.919	-4139	-3.919052	33539.17	17.65272	0.993068	0.998219	1.00176	1.00695	6.106961
156	0	-4133.492	-4133.75	0.2580067	46309.92	19.93382	0.994099	0.998485	1.0015	1.00591	5.864598
157	1	-4120.575	-4129.243	8.667986	42972.38	19.1039	0.993875	0.998427	1.00156	1.00614	5.436298
158	0	-4137.701	-4133.44	-4.260996	1259.209	16.47388	0.96441	0.990625	1.00892	1.03604	6.104956
159	1	-4144.762	-4138.203	-6.558442	870.9934	20.68954	0.957264	0.988673	1.01067	1.04339	6.175774
160	0	-4114.118	-4120.289	6.170487	6033.811	21.68242	0.983684	0.995773	1.00413	1.01641	5.541039
161	1	-4134.261	-4132.923	-1.338082	16953.23	19.83329	0.990255	0.99749	1.00248	1.00978	5.947007
162	0	-4139.463	-4147.23	7.767037	1609.216	17.00226	0.968494	0.99173	1.00791	1.03186	5.411401
163	1	-4099.32	-4091.436	-7.883759	3.843298	18.76366	0.445541	0.76961	1.08439	1.70046	6.312394
164	0	-4133.572	-4129.295	-4.277017	93168.05	21.09602	0.995839	0.998933	1.00106	1.00417	6.048996
165	1	-4120.891	-4112.356	-8.53542	3.341495	17.42557	0.414069	0.748839	1.08375	1.75334	6.370109
166	0	-4124.572	-4126.729	2.157247	17117.61	18.52464	0.990301	0.997502	1.00246	1.00973	5.776184
167	1	-4110.189	-4099.328	-10.8613	2.918101	19.9579	0.382825	0.72689	1.08208	1.8082	6.421255
168	0	-4128.915	-4133.892	4.977368	14025.16	25.03074	0.989287	0.997238	1.00272	1.01075	5.469024
169	1	-4108.384	-4104.283	-4.101095	4.617047	16.96369	0.485351	0.794165	1.0839	1.63659	6.108651
170	0	-4131.995	-4122.617	-9.378813	9217.303	14.23121	0.986791	0.996587	1.00335	1.01327	6.29619
