Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
1230	-4117.305	-4105.792	-11.51338	2.709949	15.69002	0.365499	0.714089	1.08065	1.83976	6.531068
1240	-4118.45	-4103.886	-14.56411	3.381873	17.77975	0.416805	0.750696	1.08385	1.74865	6.706188
1250	-4121.035	-4102.462	-18.57314	2.507468	16.54658	0.347164	0.700009	1.07871	1.87412	6.972287
1260	-4123.059	-4100.34	-22.71901	2.53555	14.54266	0.349801	0.70207	1.07902	1.86911	7.242598
1270	-4120.113	-4108.485	-11.6282	2.667972	17.30209	0.361825	0.711313	1.0803	1.84656	6.549305
1280	-4128.368	-4121.264	-7.104291	3.237827	17.2905	0.406863	0.7439	1.08346	1.76577	6.287809
1290	-4105.457	-4103.443	-2.013863	3.442144	20.71552	0.420817	0.753401	1.08397	1.74181	5.955243
1300	-4114.131	-4097.518	-16.61237	3.490759	17.74769	0.423993	0.755527	1.08406	1.73642	6.822583
1310	-4097.603	-4091.336	-6.266359	2.983899	17.80725	0.388012	0.730633	1.08244	1.79892	6.239355
1320	-4101.974	-4099.719	-2.254487	2.401408	16.65196	0.336905	0.691877	1.07742	1.8938	5.989995
1330	-4113.578	-4101.827	-11.75062	2.716601	17.38859	0.366076	0.714523	1.08071	1.83869	6.555179
1340	-4111.933	-4095.872	-16.06042	2.303149	14.87577	0.326962	0.68381	1.07601	1.91322	6.800359
1350	-4118.207	-4102.608	-15.59899	3.289781	16.60626	0.410508	0.746407	1.08362	1.75947	6.791912
1360	-4107.77	-4096.169	-11.60152	3.324776	16.13447	0.412925	0.74806	1.08371	1.75531	6.546746
1370	-4094.727	-4097.363	2.635487	3.886782	17.48103	0.448032	0.771201	1.0844	1.69637	5.730775
1380	-4103.852	-4100.865	-2.986944	3.070314	25.24245	0.394629	0.735348	1.08284	1.78718	5.774694
